rank,node_id,node_group,score,label,pred_above_threshold,attacks,incident_edges,responsible_loss,score_minus_responsible_loss,operation,event_uuid,time_raw,time_eastern,window,target_role,srcnode,dstnode,src_type,dst_type,type_pair,node_label_text,src_label,dst_label,score_band
11,331021,TN_high_below_threshold,5.661005020,0,0,,4,5.661005020,0.000000000,CREATE,8dc44a1b-6dd4-4db2-97db-3f86a838c504,1569215144772000000,2019-09-23 01:05:44.772000 EDT,2019-09-23 01:00:23.071000000~2019-09-23 01:15:47.689000000,dst,3,331021,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/System32/WDI/LogFiles/SecondaryLogonCKCL.etl,subject: System,file: /Device/HarddiskVolume1/Windows/System32/WDI/LogFiles/SecondaryLogonCKCL.etl,5.000 to threshold (5.699)
12,88920,TN_high_below_threshold,5.661005020,0,0,,3,5.661005020,0.000000000,CREATE,ed00ede6-6edb-4ad7-9d30-5d2cb3f99b77,1569344944008000000,2019-09-24 13:09:04.008000 EDT,2019-09-24 13:01:31.764000000~2019-09-24 13:16:45.683000000,dst,3570,88920,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/System32/WDI/LogFiles/SecondaryLogonCKCL.etl,subject: System,file: /Device/HarddiskVolume1/Windows/System32/WDI/LogFiles/SecondaryLogonCKCL.etl,5.000 to threshold (5.699)
13,345718,TN_high_below_threshold,5.661004543,0,0,,3,5.661004543,0.000000000,CREATE,40f44c5a-e181-44f6-a730-9e4aa2675c4d,1569226060945000000,2019-09-23 04:07:40.945000 EDT,2019-09-23 04:03:02.156000000~2019-09-23 04:18:53.248000000,dst,3,345718,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/System32/WDI/LogFiles/SecondaryLogonCKCL.etl,subject: System,file: /Device/HarddiskVolume1/Windows/System32/WDI/LogFiles/SecondaryLogonCKCL.etl,5.000 to threshold (5.699)
14,73951,TN_high_below_threshold,5.655868053,0,0,,3,5.655868053,0.000000000,CREATE,f5c0307f-1602-48f8-af73-a87c0a2f2967,1569333953999000000,2019-09-24 10:05:53.999000 EDT,2019-09-24 09:59:22.025000000~2019-09-24 10:14:44.822000000,dst,3,73951,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/System32/WDI/LogFiles/ShutdownCKCL.etl,subject: System,file: /Device/HarddiskVolume1/Windows/System32/WDI/LogFiles/ShutdownCKCL.etl,5.000 to threshold (5.699)
15,71764,TN_high_below_threshold,5.655632019,0,0,,98,5.655632019,0.000000000,CREATE,a94766c3-1ba8-49c9-8292-5ecee345d55c,1569334605017000000,2019-09-24 10:16:45.017000 EDT,2019-09-24 10:14:44.823000000~2019-09-24 10:29:59.096000000,dst,3570,71764,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTMsDiagProv.etl,subject: System,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTMsDiagProv.etl,5.000 to threshold (5.699)
16,102532,TN_high_below_threshold,5.655631542,0,0,,178,5.655631542,0.000000000,CREATE,2722eeea-88f9-447e-801c-1d8367312d0e,1569417336458000000,2019-09-25 09:15:36.458000 EDT,2019-09-25 09:11:14.913000000~2019-09-25 09:26:16.855000000,dst,10868,102532,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTMsDiagProv.etl,subject: System,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTMsDiagProv.etl,5.000 to threshold (5.699)
17,12038,TN_high_below_threshold,5.655631542,0,0,,41458,5.655631542,0.000000000,CREATE,505b06a6-75ed-4c76-a541-c2f3b3ef88e6,1569434144987000000,2019-09-25 13:55:44.987000 EDT,2019-09-25 13:45:56.083000000~2019-09-25 14:01:05.053000000,src,12038,102532,subject,file,subject->file,subject: System,subject: System,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTMsDiagProv.etl,5.000 to threshold (5.699)
18,106434,TN_high_below_threshold,5.644152641,0,0,,21,5.644152641,0.000000000,CREATE,a0f4e856-d0cf-4071-9f60-dcfb71907478,1569417542017000000,2019-09-25 09:19:02.017000 EDT,2019-09-25 09:11:14.913000000~2019-09-25 09:26:16.855000000,dst,10868,106434,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/LwtNetLog.etl,subject: System,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/LwtNetLog.etl,5.000 to threshold (5.699)
19,110047,TN_high_below_threshold,5.638167858,0,0,,5,5.638167858,0.000000000,CREATE,c73191d7-dfcb-49cf-8ffd-8d53f3a7e53a,1569417338794000000,2019-09-25 09:15:38.794000 EDT,2019-09-25 09:11:14.913000000~2019-09-25 09:26:16.855000000,dst,3570,110047,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTrundownCollector.etl,subject: System,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTrundownCollector.etl,5.000 to threshold (5.699)
20,88489,TN_high_below_threshold,5.635470867,0,0,,4,5.635470867,0.000000000,CREATE,fd04b4bd-67ce-4e90-8937-60a2979df720,1569344934033000000,2019-09-24 13:08:54.033000 EDT,2019-09-24 13:01:31.764000000~2019-09-24 13:16:45.683000000,dst,3570,88489,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/Wifi.etl,subject: System,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/Wifi.etl,5.000 to threshold (5.699)
21,74051,TN_high_below_threshold,5.620285034,0,0,,1,5.620285034,0.000000000,CREATE,4c04919a-ad99-4d76-8d18-4c5c274f6c08,1569334604619000000,2019-09-24 10:16:44.619000 EDT,2019-09-24 10:14:44.823000000~2019-09-24 10:29:59.096000000,dst,3,74051,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTMsULtrace.etl,subject: System,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTMsULtrace.etl,5.000 to threshold (5.699)
22,110318,TN_high_below_threshold,5.620284081,0,0,,2,5.620284081,0.000000000,CREATE,631fca13-5454-4809-809f-aaf262e60014,1569417336501000000,2019-09-25 09:15:36.501000 EDT,2019-09-25 09:11:14.913000000~2019-09-25 09:26:16.855000000,dst,10868,110318,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTMsULtrace.etl,subject: System,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTMsULtrace.etl,5.000 to threshold (5.699)
23,110178,TN_high_below_threshold,5.169753075,0,0,,7,5.169753075,0.000000000,DELETE,23630433-40b2-42e4-808b-fcd08697e571,1569417270567000000,2019-09-25 09:14:30.567000 EDT,2019-09-25 09:11:14.913000000~2019-09-25 09:26:16.855000000,dst,3570,110178,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTDiagtrack-Listener.etl,subject: System,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTDiagtrack-Listener.etl,5.000 to threshold (5.699)
24,119068,TN_high_below_threshold,4.557980061,0,0,,7,4.557980061,0.000000000,MODIFY,84c5c50e-640f-40e1-afd5-d5431a7e6396,1569245587307000000,2019-09-23 09:33:07.307000 EDT,2019-09-23 09:23:46.734000000~2019-09-23 09:39:01.361000000,dst,12546,119068,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/SysWOW64/config/systemprofile/AppData/Local/Microsoft/Windows Live/Bici/_02.sqm,"subject: schtasks.exe | schtasks  /create /tn KickoffAutoLoginRandom /tr ""python C:/ncr/kickoff/kickoff.py -d C:/ncr/kickoff -m AUTOLOGIN"" /sc MINUTE /mo 30 /ru ""SYSTEM""",file: /Device/HarddiskVolume1/Windows/SysWOW64/config/systemprofile/AppData/Local/Microsoft/Windows Live/Bici/_02.sqm,4.000 to 4.999
25,12546,TN_high_below_threshold,4.557980061,0,0,,31,4.557980061,0.000000000,MODIFY,84c5c50e-640f-40e1-afd5-d5431a7e6396,1569245587307000000,2019-09-23 09:33:07.307000 EDT,2019-09-23 09:23:46.734000000~2019-09-23 09:39:01.361000000,src,12546,119068,subject,file,subject->file,"subject: schtasks.exe | schtasks  /create /tn KickoffAutoLoginRandom /tr ""python C:/ncr/kickoff/kickoff.py -d C:/ncr/kickoff -m AUTOLOGIN"" /sc MINUTE /mo 30 /ru ""SYSTEM""","subject: schtasks.exe | schtasks  /create /tn KickoffAutoLoginRandom /tr ""python C:/ncr/kickoff/kickoff.py -d C:/ncr/kickoff -m AUTOLOGIN"" /sc MINUTE /mo 30 /ru ""SYSTEM""",file: /Device/HarddiskVolume1/Windows/SysWOW64/config/systemprofile/AppData/Local/Microsoft/Windows Live/Bici/_02.sqm,4.000 to 4.999
26,119060,TN_high_below_threshold,4.553905487,0,0,,5,4.553905487,0.000000000,CREATE,6ad0aff6-7922-4ea0-b452-6e8e9fb0d3cc,1569245582012000000,2019-09-23 09:33:02.012000 EDT,2019-09-23 09:23:46.734000000~2019-09-23 09:39:01.361000000,dst,12546,119060,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/Temp/tmp6897.tmp,"subject: schtasks.exe | schtasks  /create /tn KickoffAutoLoginRandom /tr ""python C:/ncr/kickoff/kickoff.py -d C:/ncr/kickoff -m AUTOLOGIN"" /sc MINUTE /mo 30 /ru ""SYSTEM""",file: /Device/HarddiskVolume1/Windows/Temp/tmp6897.tmp,4.000 to 4.999
27,119069,TN_high_below_threshold,4.549680233,0,0,,13,4.549680233,0.000000000,MODIFY,13310bc9-04d5-4774-acb1-ece7bddda636,1569245587308000000,2019-09-23 09:33:07.308000 EDT,2019-09-23 09:23:46.734000000~2019-09-23 09:39:01.361000000,dst,12546,119069,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/SysWOW64/config/systemprofile/AppData/Local/Microsoft/Windows Live/Bici/EmptyOptIn.sqm,"subject: schtasks.exe | schtasks  /create /tn KickoffAutoLoginRandom /tr ""python C:/ncr/kickoff/kickoff.py -d C:/ncr/kickoff -m AUTOLOGIN"" /sc MINUTE /mo 30 /ru ""SYSTEM""",file: /Device/HarddiskVolume1/Windows/SysWOW64/config/systemprofile/AppData/Local/Microsoft/Windows Live/Bici/EmptyOptIn.sqm,4.000 to 4.999
28,70916,TN_high_below_threshold,4.531248093,0,0,,1299,4.531248093,0.000000000,WRITE,13de4583-2cb5-48a8-b5d7-334036ef765e,1569245582763000000,2019-09-23 09:33:02.763000 EDT,2019-09-23 09:23:46.734000000~2019-09-23 09:39:01.361000000,dst,12546,70916,subject,file,subject->file,file: /Device/HarddiskVolume1/$LogFile,"subject: schtasks.exe | schtasks  /create /tn KickoffAutoLoginRandom /tr ""python C:/ncr/kickoff/kickoff.py -d C:/ncr/kickoff -m AUTOLOGIN"" /sc MINUTE /mo 30 /ru ""SYSTEM""",file: /Device/HarddiskVolume1/$LogFile,4.000 to 4.999
29,119057,TN_high_below_threshold,4.496216774,0,0,,5,4.496216774,0.000000000,WRITE,023f963a-18aa-41a3-9776-61c4c515faec,1569245581711000000,2019-09-23 09:33:01.711000 EDT,2019-09-23 09:23:46.734000000~2019-09-23 09:39:01.361000000,dst,12546,119057,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/SysWOW64/config/systemprofile/AppData/Local/Microsoft/OneDrive/setup/logs/Uninstall_2019-09-23_093301_88-1614.log,"subject: schtasks.exe | schtasks  /create /tn KickoffAutoLoginRandom /tr ""python C:/ncr/kickoff/kickoff.py -d C:/ncr/kickoff -m AUTOLOGIN"" /sc MINUTE /mo 30 /ru ""SYSTEM""",file: /Device/HarddiskVolume1/Windows/SysWOW64/config/systemprofile/AppData/Local/Microsoft/OneDrive/setup/logs/Uninstall_2019-09-23_093301_88-1614.log,4.000 to 4.999
30,352935,TN_high_below_threshold,4.194175720,0,0,,1,4.194175720,0.000000000,RENAME,30e8c39b-5ced-40e3-aadc-d90daa362c68,1569232356088000000,2019-09-23 05:52:36.088000 EDT,2019-09-23 05:51:00.839000000~2019-09-23 06:06:04.157000000,dst,56623,352935,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.wyxbXmiEn1Hs/bookmarkbackups/bookmarks-2019-09-23.jsonlz4,"subject: //?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe | ""//?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe"" -marionette -profile C:/Users/bantonio/AppData/Local/Temp/rust_mozprofile.wyxbXmiEn1Hs",file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.wyxbXmiEn1Hs/bookmarkbackups/bookmarks-2019-09-23.jsonlz4,4.000 to 4.999
31,352934,TN_high_below_threshold,4.194175720,0,0,,2,4.194175720,0.000000000,RENAME,4cfab9bd-7639-45c6-8c2d-ccc9184c9baf,1569232356871000000,2019-09-23 05:52:36.871000 EDT,2019-09-23 05:51:00.839000000~2019-09-23 06:06:04.157000000,dst,56623,352934,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.wyxbXmiEn1Hs/bookmarkbackups/bookmarks-2019-09-23.jsonlz4.tmp,"subject: //?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe | ""//?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe"" -marionette -profile C:/Users/bantonio/AppData/Local/Temp/rust_mozprofile.wyxbXmiEn1Hs",file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.wyxbXmiEn1Hs/bookmarkbackups/bookmarks-2019-09-23.jsonlz4.tmp,4.000 to 4.999
32,86086,TN_high_below_threshold,4.194175720,0,0,,2,4.194175720,0.000000000,RENAME,1b93bd3d-c986-445b-91d0-91fc4a54f7a4,1569342028693000000,2019-09-24 12:20:28.693000 EDT,2019-09-24 12:15:50.557000000~2019-09-24 12:31:08.792000000,dst,4221,86086,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.w9km2oiOwNcE/bookmarkbackups/bookmarks-2019-09-24.jsonlz4,"subject: //?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe | ""//?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe"" -marionette -profile C:/Users/bantonio/AppData/Local/Temp/rust_mozprofile.w9km2oiOwNcE",file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.w9km2oiOwNcE/bookmarkbackups/bookmarks-2019-09-24.jsonlz4,4.000 to 4.999
33,86085,TN_high_below_threshold,4.194175720,0,0,,2,4.194175720,0.000000000,RENAME,24e12df0-11da-4b56-867c-a5cccea2ea3b,1569342028685000000,2019-09-24 12:20:28.685000 EDT,2019-09-24 12:15:50.557000000~2019-09-24 12:31:08.792000000,dst,4221,86085,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.w9km2oiOwNcE/bookmarkbackups/bookmarks-2019-09-24.jsonlz4.tmp,"subject: //?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe | ""//?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe"" -marionette -profile C:/Users/bantonio/AppData/Local/Temp/rust_mozprofile.w9km2oiOwNcE",file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.w9km2oiOwNcE/bookmarkbackups/bookmarks-2019-09-24.jsonlz4.tmp,4.000 to 4.999
34,56623,TN_high_below_threshold,4.194175720,0,0,,1068,4.194175720,0.000000000,RENAME,30e8c39b-5ced-40e3-aadc-d90daa362c68,1569232356088000000,2019-09-23 05:52:36.088000 EDT,2019-09-23 05:51:00.839000000~2019-09-23 06:06:04.157000000,src,56623,352935,subject,file,subject->file,"subject: //?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe | ""//?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe"" -marionette -profile C:/Users/bantonio/AppData/Local/Temp/rust_mozprofile.wyxbXmiEn1Hs","subject: //?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe | ""//?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe"" -marionette -profile C:/Users/bantonio/AppData/Local/Temp/rust_mozprofile.wyxbXmiEn1Hs",file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.wyxbXmiEn1Hs/bookmarkbackups/bookmarks-2019-09-23.jsonlz4,4.000 to 4.999
35,4221,TN_high_below_threshold,4.194175720,0,0,,1720,4.194175720,0.000000000,RENAME,24e12df0-11da-4b56-867c-a5cccea2ea3b,1569342028685000000,2019-09-24 12:20:28.685000 EDT,2019-09-24 12:15:50.557000000~2019-09-24 12:31:08.792000000,src,4221,86085,subject,file,subject->file,"subject: //?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe | ""//?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe"" -marionette -profile C:/Users/bantonio/AppData/Local/Temp/rust_mozprofile.w9km2oiOwNcE","subject: //?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe | ""//?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe"" -marionette -profile C:/Users/bantonio/AppData/Local/Temp/rust_mozprofile.w9km2oiOwNcE",file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.w9km2oiOwNcE/bookmarkbackups/bookmarks-2019-09-24.jsonlz4.tmp,4.000 to 4.999
36,352703,TN_high_below_threshold,4.162775993,0,0,,3,4.162775993,0.000000000,RENAME,bdd8beba-ae4b-46c1-82c3-6932ca3c0c7a,1569231929421000000,2019-09-23 05:45:29.421000 EDT,2019-09-23 05:35:26.993000000~2019-09-23 05:51:00.837000000,dst,56623,352703,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.wyxbXmiEn1Hs/safebrowsing,"subject: //?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe | ""//?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe"" -marionette -profile C:/Users/bantonio/AppData/Local/Temp/rust_mozprofile.wyxbXmiEn1Hs",file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.wyxbXmiEn1Hs/safebrowsing,4.000 to 4.999
37,121036,TN_high_below_threshold,4.162775993,0,0,,4,4.162775993,0.000000000,RENAME,b6b7fb40-eb5d-471c-b40e-129ae8be5d9d,1569246158377000000,2019-09-23 09:42:38.377000 EDT,2019-09-23 09:39:01.361000000~2019-09-23 09:54:07.016000000,dst,12635,121036,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.iwTJ6JIN6BTn/safebrowsing,"subject: //?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe | ""//?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe"" -marionette -profile C:/Users/bantonio/AppData/Local/Temp/rust_mozprofile.iwTJ6JIN6BTn",file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.iwTJ6JIN6BTn/safebrowsing,4.000 to 4.999
38,86000,TN_high_below_threshold,4.162775993,0,0,,3,4.162775993,0.000000000,RENAME,fc76bff5-7f41-4f33-9cbf-d4cb37ed9b9e,1569341797764000000,2019-09-24 12:16:37.764000 EDT,2019-09-24 12:15:50.557000000~2019-09-24 12:31:08.792000000,dst,4221,86000,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.w9km2oiOwNcE/safebrowsing,"subject: //?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe | ""//?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe"" -marionette -profile C:/Users/bantonio/AppData/Local/Temp/rust_mozprofile.w9km2oiOwNcE",file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.w9km2oiOwNcE/safebrowsing,4.000 to 4.999
39,12635,TN_high_below_threshold,4.162775993,0,0,,2206,4.162775993,0.000000000,RENAME,b6b7fb40-eb5d-471c-b40e-129ae8be5d9d,1569246158377000000,2019-09-23 09:42:38.377000 EDT,2019-09-23 09:39:01.361000000~2019-09-23 09:54:07.016000000,src,12635,121036,subject,file,subject->file,"subject: //?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe | ""//?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe"" -marionette -profile C:/Users/bantonio/AppData/Local/Temp/rust_mozprofile.iwTJ6JIN6BTn","subject: //?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe | ""//?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe"" -marionette -profile C:/Users/bantonio/AppData/Local/Temp/rust_mozprofile.iwTJ6JIN6BTn",file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.iwTJ6JIN6BTn/safebrowsing,4.000 to 4.999
40,352758,TN_high_below_threshold,4.162381649,0,0,,3,4.162381649,0.000000000,RENAME,065bcba7-aebc-407c-bf60-ad52a73169b8,1569231929042000000,2019-09-23 05:45:29.042000 EDT,2019-09-23 05:35:26.993000000~2019-09-23 05:51:00.837000000,dst,56623,352758,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.wyxbXmiEn1Hs/safebrowsing-updating,"subject: //?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe | ""//?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe"" -marionette -profile C:/Users/bantonio/AppData/Local/Temp/rust_mozprofile.wyxbXmiEn1Hs",file: /Device/HarddiskVolume1/Users/bantonio/AppData/Local/Temp/rust_mozprofile.wyxbXmiEn1Hs/safebrowsing-updating,4.000 to 4.999
