src,dst,operation,event_count,first_ts_ns,last_ts_ns
282607,73241,EVENT_SENDTO,2,1523385557703505394,1523385557703531874
282609,73241,EVENT_SENDTO,2,1523385577779722903,1523385577779740298
282611,73241,EVENT_SENDTO,2,1523385578490808504,1523385578490835416
282612,73241,EVENT_SENDTO,2,1523385580083390512,1523385580083414535
282613,73241,EVENT_SENDTO,2,1523385581986274873,1523385581986297712
282614,73241,EVENT_SENDTO,2,1523385582395990002,1523385582396016950
282615,73241,EVENT_SENDTO,2,1523385588596370996,1523385588596394015
282617,73241,EVENT_SENDTO,2,1523385589401954468,1523385589401996542
282621,73241,EVENT_SENDTO,2,1523385676138635283,1523385676138651873
282691,73241,EVENT_SENDTO,2,1523385780605523466,1523385780605540317
282692,73241,EVENT_SENDTO,2,1523385781307104781,1523385781307121842
282695,73241,EVENT_SENDTO,2,1523385798633117198,1523385798633133714
282696,73241,EVENT_SENDTO,2,1523385799134270967,1523385799134287695
282700,73241,EVENT_SENDTO,2,1523385866841873639,1523385866841890077
284514,73612,EVENT_SENDTO,2,1523386477084587264,1523386477084609266
284517,73612,EVENT_SENDTO,2,1523386491010388945,1523386491010412388
284518,73612,EVENT_SENDTO,2,1523386491912248949,1523386491912259607
284526,73612,EVENT_SENDTO,2,1523386592477248939,1523386592477264222
284529,73612,EVENT_SENDTO,2,1523386599791172887,1523386599791189108
284560,73612,EVENT_SENDTO,2,1523386606401016079,1523386606401033742
284561,74539,EVENT_SENDTO,2,1523386615862647336,1523386615862663921
284562,74539,EVENT_SENDTO,2,1523386616864981008,1523386616864999101
284573,74539,EVENT_SENDTO,2,1523386709306875379,1523386709306890897
284576,74539,EVENT_SENDTO,2,1523386734645799016,1523386734645821868
644341,282484,EVENT_OPEN,2,1523385082942886165,1523385099855255444
644341,282484,EVENT_READ,2,1523385082942894934,1523385099855261992
282484,73088,EVENT_CONNECT,1,1523385082943615045,1523385082943615045
282484,73088,EVENT_SENDTO,1,1523385082943624832,1523385082943624832
282484,282560,EVENT_CLONE,1,1523385082984160921,1523385082984160921
282560,73089,EVENT_CONNECT,1,1523385082992535880,1523385082992535880
282560,282561,EVENT_CLONE,1,1523385082997226973,1523385082997226973
282560,282565,EVENT_CLONE,1,1523385146399521772,1523385146399521772
282560,282566,EVENT_CLONE,1,1523385148102728007,1523385148102728007
282560,282567,EVENT_CLONE,1,1523385152709290839,1523385152709290839
282560,282568,EVENT_CLONE,1,1523385156915333827,1523385156915333827
282560,282570,EVENT_CLONE,1,1523385160820979454,1523385160820979454
282560,282584,EVENT_CLONE,1,1523385317249393221,1523385317249393221
282560,282585,EVENT_CLONE,1,1523385320453933350,1523385320453933350
282560,282587,EVENT_CLONE,1,1523385324659755152,1523385324659755152
282560,282588,EVENT_CLONE,1,1523385330167725610,1523385330167725610
282560,282593,EVENT_CLONE,1,1523385345189136549,1523385345189136549
282584,652280,EVENT_WRITE,1,1523385317249665654,1523385317249665654
282588,644341,EVENT_WRITE,1,1523385330167917664,1523385330167917664
282590,73241,EVENT_CONNECT,1,1523385330171024791,1523385330171024791
282590,282591,EVENT_CLONE,1,1523385330224017434,1523385330224017434
282590,282595,EVENT_CLONE,1,1523385361867998282,1523385361867998282
282590,282606,EVENT_CLONE,1,1523385556649368423,1523385556649368423
282590,282607,EVENT_CLONE,1,1523385557650876933,1523385557650876933
282590,282609,EVENT_CLONE,1,1523385577779626080,1523385577779626080
282590,282611,EVENT_CLONE,1,1523385578480893681,1523385578480893681
282590,282612,EVENT_CLONE,1,1523385580083302704,1523385580083302704
282590,282613,EVENT_CLONE,1,1523385581986190774,1523385581986190774
282590,282614,EVENT_CLONE,1,1523385582386974906,1523385582386974906
282590,282615,EVENT_CLONE,1,1523385588596283771,1523385588596283771
282590,282617,EVENT_CLONE,1,1523385589397570744,1523385589397570744
282590,282621,EVENT_CLONE,1,1523385676138545238,1523385676138545238
282590,282691,EVENT_CLONE,1,1523385780605438562,1523385780605438562
282590,282692,EVENT_CLONE,1,1523385781306742430,1523385781306742430
282590,282695,EVENT_CLONE,1,1523385798633034209,1523385798633034209
282590,282696,EVENT_CLONE,1,1523385799133951076,1523385799133951076
282590,282700,EVENT_CLONE,1,1523385866841786855,1523385866841786855
282590,282701,EVENT_CLONE,1,1523385867843495196,1523385867843495196
284406,73611,EVENT_CONNECT,1,1523386456612033503,1523386456612033503
284406,73611,EVENT_SENDTO,1,1523386456612045325,1523386456612045325
284406,284473,EVENT_CLONE,1,1523386456639483025,1523386456639483025
284473,73612,EVENT_CONNECT,1,1523386456645767918,1523386456645767918
284473,284474,EVENT_CLONE,1,1523386456649675624,1523386456649675624
284473,284514,EVENT_CLONE,1,1523386477084395116,1523386477084395116
284473,284517,EVENT_CLONE,1,1523386491010294411,1523386491010294411
284473,284518,EVENT_CLONE,1,1523386491911590755,1523386491911590755
284473,284526,EVENT_CLONE,1,1523386592476892263,1523386592476892263
284473,284529,EVENT_CLONE,1,1523386599790898587,1523386599790898587
284473,284560,EVENT_CLONE,1,1523386606400895234,1523386606400895234
284526,658171,EVENT_WRITE,1,1523386592477156011,1523386592477156011
284529,644341,EVENT_WRITE,1,1523386599791065723,1523386599791065723
284530,74539,EVENT_CONNECT,1,1523386599793590421,1523386599793590421
284530,284531,EVENT_CLONE,1,1523386599838316049,1523386599838316049
284530,284561,EVENT_CLONE,1,1523386615862518097,1523386615862518097
284530,284562,EVENT_CLONE,1,1523386616864206230,1523386616864206230
284530,284573,EVENT_CLONE,1,1523386709306523322,1523386709306523322
284530,284576,EVENT_CLONE,1,1523386734645611195,1523386734645611195
284573,658599,EVENT_WRITE,1,1523386709306783827,1523386709306783827
644341,282588,EVENT_OPEN,1,1523385330167771971,1523385330167771971
644341,284529,EVENT_OPEN,1,1523386599790946269,1523386599790946269
652280,282584,EVENT_OPEN,1,1523385317249482598,1523385317249482598
652280,282590,EVENT_EXECUTE,1,1523385330168523991,1523385330168523991
658171,284526,EVENT_OPEN,1,1523386592476971293,1523386592476971293
658171,284530,EVENT_EXECUTE,1,1523386599791450540,1523386599791450540
658599,284573,EVENT_OPEN,1,1523386709306598341,1523386709306598341
