rank,node_id,node_group,score,label,pred_above_threshold,attacks,incident_edges,responsible_loss,score_minus_responsible_loss,operation,event_uuid,time_raw,time_eastern,window,target_role,srcnode,dstnode,src_type,dst_type,type_pair,node_label_text,src_label,dst_label,score_band
45,2645321,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,D2ED4412-B04D-573A-B598-2F385B8D8019,1523640437184305790,2018-04-13 13:27:17.184306 EDT,2018-04-13 13:15:43.584318746~2018-04-13 13:31:13.974296939,src,2645321,374985,file,subject,file->subject,node 2645321,node 2645321,node 374985,threshold to coverage (9.821-16.528)
46,2645035,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,167A5B4E-5F95-5CF9-80E6-9D8014D0BA26,1523640318174307166,2018-04-13 13:25:18.174307 EDT,2018-04-13 13:15:43.584318746~2018-04-13 13:31:13.974296939,src,2645035,374948,file,subject,file->subject,node 2645035,node 2645035,node 374948,threshold to coverage (9.821-16.528)
47,2644922,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,EBD33604-EE70-59E6-AEB1-00FCF942807A,1523640273754307959,2018-04-13 13:24:33.754308 EDT,2018-04-13 13:15:43.584318746~2018-04-13 13:31:13.974296939,src,2644922,374925,file,subject,file->subject,node 2644922,node 2644922,node 374925,threshold to coverage (9.821-16.528)
48,2644613,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,3D3583B5-5CAE-57D0-8729-B184E53EA4B8,1523640135214310368,2018-04-13 13:22:15.214310 EDT,2018-04-13 13:15:43.584318746~2018-04-13 13:31:13.974296939,src,2644613,374894,file,subject,file->subject,node 2644613,node 2644613,node 374894,threshold to coverage (9.821-16.528)
49,2644586,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,157DE02D-FFD4-5C36-92D0-611C08D03B67,1523640131464310818,2018-04-13 13:22:11.464311 EDT,2018-04-13 13:15:43.584318746~2018-04-13 13:31:13.974296939,src,2644586,374886,file,subject,file->subject,node 2644586,node 2644586,node 374886,threshold to coverage (9.821-16.528)
50,2644499,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,41B0AFA1-0652-55BD-8816-2242E4D854B4,1523640100644311912,2018-04-13 13:21:40.644312 EDT,2018-04-13 13:15:43.584318746~2018-04-13 13:31:13.974296939,src,2644499,374856,file,subject,file->subject,node 2644499,node 2644499,node 374856,threshold to coverage (9.821-16.528)
51,2644185,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,133B0ED6-15C7-5A6A-BBCE-313CF82DD2A1,1523639968804312144,2018-04-13 13:19:28.804312 EDT,2018-04-13 13:15:43.584318746~2018-04-13 13:31:13.974296939,src,2644185,374821,file,subject,file->subject,node 2644185,node 2644185,node 374821,threshold to coverage (9.821-16.528)
52,2644060,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,E65D29FB-4DFC-5949-A2D0-12090BD375D1,1523639917484316467,2018-04-13 13:18:37.484316 EDT,2018-04-13 13:15:43.584318746~2018-04-13 13:31:13.974296939,src,2644060,374803,file,subject,file->subject,node 2644060,node 2644060,node 374803,threshold to coverage (9.821-16.528)
53,2643926,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,86CCB278-3590-5F8D-8596-B729187E36C1,1523639863574322868,2018-04-13 13:17:43.574323 EDT,2018-04-13 13:15:43.584318746~2018-04-13 13:31:13.974296939,src,2643926,374779,file,subject,file->subject,node 2643926,node 2643926,node 374779,threshold to coverage (9.821-16.528)
54,2643725,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,2A10EAC5-C865-50D2-9AD9-CB1A2E2AF6E1,1523639807144319690,2018-04-13 13:16:47.144320 EDT,2018-04-13 13:15:43.584318746~2018-04-13 13:31:13.974296939,src,2643725,374761,file,subject,file->subject,node 2643725,node 2643725,node 374761,threshold to coverage (9.821-16.528)
55,2632712,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,3FB9963A-5C4E-574D-A9CA-A6DFA849051C,1523634980774426621,2018-04-13 11:56:20.774427 EDT,2018-04-13 11:41:59.434444234~2018-04-13 11:57:06.924428282,src,2632712,373556,file,subject,file->subject,node 2632712,node 2632712,node 373556,threshold to coverage (9.821-16.528)
56,2631950,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,8F81B889-F88A-5A9F-A690-466921C5ED5F,1523634635054438104,2018-04-13 11:50:35.054438 EDT,2018-04-13 11:41:59.434444234~2018-04-13 11:57:06.924428282,src,2631950,373473,file,subject,file->subject,node 2631950,node 2631950,node 373473,threshold to coverage (9.821-16.528)
57,2631072,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,A6B7139E-0B17-579E-955B-0EFC22D781CA,1523634301814451396,2018-04-13 11:45:01.814451 EDT,2018-04-13 11:41:59.434444234~2018-04-13 11:57:06.924428282,src,2631072,373371,file,subject,file->subject,node 2631072,node 2631072,node 373371,threshold to coverage (9.821-16.528)
58,2630728,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,8A28D50C-FBDC-5015-AE59-73CC8A8E6E51,1523634214794443857,2018-04-13 11:43:34.794444 EDT,2018-04-13 11:41:59.434444234~2018-04-13 11:57:06.924428282,src,2630728,373306,file,subject,file->subject,node 2630728,node 2630728,node 373306,threshold to coverage (9.821-16.528)
59,2498405,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,0AFAEEA1-852B-57A6-8A00-9DA29F1DC495,1523574199225791673,2018-04-12 19:03:19.225792 EDT,2018-04-12 18:55:02.845795749~2018-04-12 19:10:00.045783081,src,2498405,359954,file,subject,file->subject,node 2498405,node 2498405,node 359954,threshold to coverage (9.821-16.528)
60,2487995,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,43A8E5BC-1243-566A-809E-DE09F91CB917,1523569942325887138,2018-04-12 17:52:22.325887 EDT,2018-04-12 17:51:42.615885511~2018-04-12 18:07:48.175876148,src,2487995,358730,file,subject,file->subject,node 2487995,node 2487995,node 358730,threshold to coverage (9.821-16.528)
61,2480773,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,5263E29D-D8DD-5D67-A0A9-FF76F2217FDE,1523566906565946662,2018-04-12 17:01:46.565947 EDT,2018-04-12 16:50:21.925962673~2018-04-12 17:05:55.795941278,src,2480773,357845,file,subject,file->subject,node 2480773,node 2480773,node 357845,threshold to coverage (9.821-16.528)
62,2480481,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,ED566817-A6E0-50B8-96C9-3B8A8C6F3ABC,1523566800925952856,2018-04-12 17:00:00.925953 EDT,2018-04-12 16:50:21.925962673~2018-04-12 17:05:55.795941278,src,2480481,357799,file,subject,file->subject,node 2480481,node 2480481,node 357799,threshold to coverage (9.821-16.528)
63,2480100,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,E43D85BA-B846-5789-BCC8-2712A538588D,1523566626055953876,2018-04-12 16:57:06.055954 EDT,2018-04-12 16:50:21.925962673~2018-04-12 17:05:55.795941278,src,2480100,357744,file,subject,file->subject,node 2480100,node 2480100,node 357744,threshold to coverage (9.821-16.528)
64,2480042,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,79A40946-8700-5699-9B8B-0B1B05940B9A,1523566609085953493,2018-04-12 16:56:49.085953 EDT,2018-04-12 16:50:21.925962673~2018-04-12 17:05:55.795941278,src,2480042,357733,file,subject,file->subject,node 2480042,node 2480042,node 357733,threshold to coverage (9.821-16.528)
65,2479714,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,133EA781-F0EA-517F-A7E6-DCEA2309E6AD,1523566507795965457,2018-04-12 16:55:07.795965 EDT,2018-04-12 16:50:21.925962673~2018-04-12 17:05:55.795941278,src,2479714,357685,file,subject,file->subject,node 2479714,node 2479714,node 357685,threshold to coverage (9.821-16.528)
66,2478978,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,265F4E8F-B898-511E-AEDC-AE650441B8AF,1523566250215962364,2018-04-12 16:50:50.215962 EDT,2018-04-12 16:50:21.925962673~2018-04-12 17:05:55.795941278,src,2478978,357588,file,subject,file->subject,node 2478978,node 2478978,node 357588,threshold to coverage (9.821-16.528)
67,2443650,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,5E25202C-B14F-5B70-BCE0-C31B1002E52C,1523556420436191231,2018-04-12 14:07:00.436191 EDT,2018-04-12 13:57:11.656194988~2018-04-12 14:12:42.246174821,src,2443650,355060,file,subject,file->subject,node 2443650,node 2443650,node 355060,threshold to coverage (9.821-16.528)
68,2443396,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,0027B8E8-3AD5-5380-AE73-5A8F0E73D27E,1523556352726183453,2018-04-12 14:05:52.726183 EDT,2018-04-12 13:57:11.656194988~2018-04-12 14:12:42.246174821,src,2443396,355025,file,subject,file->subject,node 2443396,node 2443396,node 355025,threshold to coverage (9.821-16.528)
69,2443238,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,25826C74-0458-5256-AB3A-E4B970D316B7,1523556285606186034,2018-04-12 14:04:45.606186 EDT,2018-04-12 13:57:11.656194988~2018-04-12 14:12:42.246174821,src,2443238,355004,file,subject,file->subject,node 2443238,node 2443238,node 355004,threshold to coverage (9.821-16.528)
