rank,node_id,node_group,score,label,pred_above_threshold,attacks,incident_edges,responsible_loss,score_minus_responsible_loss,operation,event_uuid,time_raw,time_eastern,window,target_role,srcnode,dstnode,src_type,dst_type,type_pair,node_label_text,src_label,dst_label,score_band
11,281403,TN_high_below_threshold,15.024265289,0,0,,4,15.024265289,0.000000000,RENAME,027b5611-6552-4eb0-a2bd-06666d99dbc1,1569221026804000000,2019-09-23 02:43:46.804000 EDT,2019-09-23 02:43:39.079000000~2019-09-23 02:44:19.995000000,dst,33819,281403,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132136946180690686.txt,"subject: /Device/HarddiskVolume1/Windows/system32/conhost.exe | ""C:/Windows/system32/backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca",file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132136946180690686.txt,6.000 to coverage score (16.262)
12,33819,TN_high_below_threshold,15.024265289,0,0,,75,15.024265289,0.000000000,RENAME,39bb8bfc-2681-4374-a86a-764027225858,1569221026801000000,2019-09-23 02:43:46.801000 EDT,2019-09-23 02:43:39.079000000~2019-09-23 02:44:19.995000000,src,33819,281405,subject,file,subject->file,"subject: /Device/HarddiskVolume1/Windows/system32/conhost.exe | ""C:/Windows/system32/backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca","subject: /Device/HarddiskVolume1/Windows/system32/conhost.exe | ""C:/Windows/system32/backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca",file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132136946180690686.txt~RFc76069b.TMP,6.000 to coverage score (16.262)
13,297771,TN_high_below_threshold,14.144761086,0,0,,5,14.144761086,0.000000000,MODIFY,09f4fe96-acd3-4612-9a0a-d0242d14b4c4,1569242421116000000,2019-09-23 08:40:21.116000 EDT,2019-09-23 08:40:02.042000000~2019-09-23 08:40:49.009000000,dst,35326,297771,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/system32/config/systemprofile/AppData/LocalLow/Microsoft/CryptnetUrlCache/Content/CE9BBF0C72D6E55BD499A1C5FB58DB25,subject: taskhostw.exe | taskhostw.exe SYSTEM,file: /Device/HarddiskVolume1/Windows/system32/config/systemprofile/AppData/LocalLow/Microsoft/CryptnetUrlCache/Content/CE9BBF0C72D6E55BD499A1C5FB58DB25,6.000 to coverage score (16.262)
14,35326,TN_high_below_threshold,14.144761086,0,0,,39,14.144761086,0.000000000,MODIFY,09f4fe96-acd3-4612-9a0a-d0242d14b4c4,1569242421116000000,2019-09-23 08:40:21.116000 EDT,2019-09-23 08:40:02.042000000~2019-09-23 08:40:49.009000000,src,35326,297771,subject,file,subject->file,subject: taskhostw.exe | taskhostw.exe SYSTEM,subject: taskhostw.exe | taskhostw.exe SYSTEM,file: /Device/HarddiskVolume1/Windows/system32/config/systemprofile/AppData/LocalLow/Microsoft/CryptnetUrlCache/Content/CE9BBF0C72D6E55BD499A1C5FB58DB25,6.000 to coverage score (16.262)
15,82599,TN_high_below_threshold,14.144760132,0,0,,7,14.144760132,0.000000000,MODIFY,6b764399-b30a-4e37-8116-889f2f587449,1569391791224000000,2019-09-25 02:09:51.224000 EDT,2019-09-25 02:09:27.147000000~2019-09-25 02:10:42.508000000,dst,7864,82599,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/system32/config/systemprofile/AppData/LocalLow/Microsoft/CryptnetUrlCache/Content/CE9BBF0C72D6E55BD499A1C5FB58DB25,subject: taskhostw.exe | taskhostw.exe SYSTEM,file: /Device/HarddiskVolume1/Windows/system32/config/systemprofile/AppData/LocalLow/Microsoft/CryptnetUrlCache/Content/CE9BBF0C72D6E55BD499A1C5FB58DB25,6.000 to coverage score (16.262)
16,7864,TN_high_below_threshold,14.144760132,0,0,,27,14.144760132,0.000000000,MODIFY,6b764399-b30a-4e37-8116-889f2f587449,1569391791224000000,2019-09-25 02:09:51.224000 EDT,2019-09-25 02:09:27.147000000~2019-09-25 02:10:42.508000000,src,7864,82599,subject,file,subject->file,subject: taskhostw.exe | taskhostw.exe SYSTEM,subject: taskhostw.exe | taskhostw.exe SYSTEM,file: /Device/HarddiskVolume1/Windows/system32/config/systemprofile/AppData/LocalLow/Microsoft/CryptnetUrlCache/Content/CE9BBF0C72D6E55BD499A1C5FB58DB25,6.000 to coverage score (16.262)
17,82600,TN_high_below_threshold,14.085389137,0,0,,7,14.085389137,0.000000000,MODIFY,41c28305-c2e5-4a0a-b27f-e5969426dbf3,1569391791224000000,2019-09-25 02:09:51.224000 EDT,2019-09-25 02:09:27.147000000~2019-09-25 02:10:42.508000000,dst,7864,82600,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/system32/config/systemprofile/AppData/LocalLow/Microsoft/CryptnetUrlCache/MetaData/CE9BBF0C72D6E55BD499A1C5FB58DB25,subject: taskhostw.exe | taskhostw.exe SYSTEM,file: /Device/HarddiskVolume1/Windows/system32/config/systemprofile/AppData/LocalLow/Microsoft/CryptnetUrlCache/MetaData/CE9BBF0C72D6E55BD499A1C5FB58DB25,6.000 to coverage score (16.262)
18,297772,TN_high_below_threshold,14.085388184,0,0,,4,14.085388184,0.000000000,MODIFY,61d34668-a22a-4ed1-b518-ae44580fcc9c,1569242421116000000,2019-09-23 08:40:21.116000 EDT,2019-09-23 08:40:02.042000000~2019-09-23 08:40:49.009000000,dst,35326,297772,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/system32/config/systemprofile/AppData/LocalLow/Microsoft/CryptnetUrlCache/MetaData/CE9BBF0C72D6E55BD499A1C5FB58DB25,subject: taskhostw.exe | taskhostw.exe SYSTEM,file: /Device/HarddiskVolume1/Windows/system32/config/systemprofile/AppData/LocalLow/Microsoft/CryptnetUrlCache/MetaData/CE9BBF0C72D6E55BD499A1C5FB58DB25,6.000 to coverage score (16.262)
19,100980,TN_high_below_threshold,14.027863503,0,0,,7,14.027863503,-0.000000000,RENAME,08fd6b57-b0c8-4f58-8ed7-b2220f596582,1569249176009000000,2019-09-23 10:32:56.009000 EDT,2019-09-23 10:32:43.527000000~2019-09-23 10:33:34.613000000,dst,11306,100980,subject,file,subject->file,file: /Device/HarddiskVolume1/documents/~WRD0000.tmp,"subject: /Device/HarddiskVolume1/Windows/SYSTEM32/cmd.exe | C:/Windows/SYSTEM32/cmd.exe /c ""C:/ncr/DeleteArchiveSecurity.bat""",file: /Device/HarddiskVolume1/documents/~WRD0000.tmp,6.000 to coverage score (16.262)
20,11306,TN_high_below_threshold,14.027863503,0,0,,106,14.027863503,-0.000000000,RENAME,08fd6b57-b0c8-4f58-8ed7-b2220f596582,1569249176009000000,2019-09-23 10:32:56.009000 EDT,2019-09-23 10:32:43.527000000~2019-09-23 10:33:34.613000000,src,11306,100980,subject,file,subject->file,"subject: /Device/HarddiskVolume1/Windows/SYSTEM32/cmd.exe | C:/Windows/SYSTEM32/cmd.exe /c ""C:/ncr/DeleteArchiveSecurity.bat""","subject: /Device/HarddiskVolume1/Windows/SYSTEM32/cmd.exe | C:/Windows/SYSTEM32/cmd.exe /c ""C:/ncr/DeleteArchiveSecurity.bat""",file: /Device/HarddiskVolume1/documents/~WRD0000.tmp,6.000 to coverage score (16.262)
21,100950,TN_high_below_threshold,13.890871048,0,0,,3,13.890871048,0.000000000,RENAME,8f317c58-26e7-4589-ac55-19c52ac8ff17,1569249176899000000,2019-09-23 10:32:56.899000 EDT,2019-09-23 10:32:43.527000000~2019-09-23 10:33:34.613000000,dst,11306,100950,subject,file,subject->file,file: /Device/HarddiskVolume1/documents/Facility_Ally_Sentence.docx,"subject: /Device/HarddiskVolume1/Windows/SYSTEM32/cmd.exe | C:/Windows/SYSTEM32/cmd.exe /c ""C:/ncr/DeleteArchiveSecurity.bat""",file: /Device/HarddiskVolume1/documents/Facility_Ally_Sentence.docx,6.000 to coverage score (16.262)
22,87004,TN_high_below_threshold,13.643625259,0,0,,3,13.643625259,0.000000000,CREATE,ff75858c-e032-4916-a5ae-635a533cfc26,1569417672085000000,2019-09-25 09:21:12.085000 EDT,2019-09-25 09:21:09.768000000~2019-09-25 09:21:58.066000000,dst,9216,87004,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132138911660413988.txt~RF337ca.TMP,"subject: /Device/HarddiskVolume1/Windows/system32/backgroundTaskHost.exe | ""C:/Windows/system32/backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca",file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132138911660413988.txt~RF337ca.TMP,6.000 to coverage score (16.262)
23,87002,TN_high_below_threshold,13.643625259,0,0,,6,13.643625259,0.000000000,RENAME,5211c75b-6211-4d3d-a044-7ac2c4d09b3f,1569417672086000000,2019-09-25 09:21:12.086000 EDT,2019-09-25 09:21:09.768000000~2019-09-25 09:21:58.066000000,dst,9216,87002,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132138911660413988.txt,"subject: /Device/HarddiskVolume1/Windows/system32/backgroundTaskHost.exe | ""C:/Windows/system32/backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca",file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132138911660413988.txt,6.000 to coverage score (16.262)
24,83842,TN_high_below_threshold,13.643625259,0,0,,6,13.643625259,0.000000000,RENAME,694b8ee4-0014-488b-aef4-71cc110b166d,1569394486039000000,2019-09-25 02:54:46.039000 EDT,2019-09-25 02:54:32.796000000~2019-09-25 02:55:05.223000000,dst,8003,83842,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132138680826299473.txt.~tmp,"subject: /Device/HarddiskVolume1/Windows/system32/backgroundTaskHost.exe | ""C:/Windows/system32/backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca",file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132138680826299473.txt.~tmp,6.000 to coverage score (16.262)
25,83839,TN_high_below_threshold,13.643625259,0,0,,4,13.643625259,0.000000000,RENAME,97285e88-f72d-4e43-899d-2752824ed9a4,1569394486038000000,2019-09-25 02:54:46.038000 EDT,2019-09-25 02:54:32.796000000~2019-09-25 02:55:05.223000000,dst,8003,83839,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132138680826299473.txt,"subject: /Device/HarddiskVolume1/Windows/system32/backgroundTaskHost.exe | ""C:/Windows/system32/backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca",file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132138680826299473.txt,6.000 to coverage score (16.262)
26,83613,TN_high_below_threshold,13.643625259,0,0,,4,13.643625259,0.000000000,RENAME,1a7e1764-74d3-4d8a-8d44-65d0ff8c0dd1,1569380083106000000,2019-09-24 22:54:43.106000 EDT,2019-09-24 22:54:19.009000000~2019-09-24 22:54:50.803000000,dst,7305,83613,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132138536786420275.txt,"subject: /Device/HarddiskVolume1/Windows/system32/backgroundTaskHost.exe | ""C:/Windows/system32/backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca",file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132138536786420275.txt,6.000 to coverage score (16.262)
27,83612,TN_high_below_threshold,13.643625259,0,0,,3,13.643625259,0.000000000,RENAME,eb0bf76e-094d-4c84-a647-cb3b7d2e58ed,1569380083107000000,2019-09-24 22:54:43.107000 EDT,2019-09-24 22:54:19.009000000~2019-09-24 22:54:50.803000000,dst,7305,83612,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132138536786420275.txt.~tmp,"subject: /Device/HarddiskVolume1/Windows/system32/backgroundTaskHost.exe | ""C:/Windows/system32/backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca",file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132138536786420275.txt.~tmp,6.000 to coverage score (16.262)
28,79224,TN_high_below_threshold,13.643625259,0,0,,3,13.643625259,0.000000000,RENAME,657d3a93-c0ef-4889-b795-d13d39c80c27,1569351299014000000,2019-09-24 14:54:59.014000 EDT,2019-09-24 14:54:33.635000000~2019-09-24 14:55:05.144000000,dst,5805,79224,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132138248884487682.txt~RF10597e5.TMP,"subject: /Device/HarddiskVolume1/Windows/system32/backgroundTaskHost.exe | ""C:/Windows/system32/backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca",file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132138248884487682.txt~RF10597e5.TMP,6.000 to coverage score (16.262)
29,79078,TN_high_below_threshold,13.643625259,0,0,,4,13.643625259,0.000000000,RENAME,d6a65270-47d0-4e20-ae56-99a3d57a64d0,1569351299014000000,2019-09-24 14:54:59.014000 EDT,2019-09-24 14:54:33.635000000~2019-09-24 14:55:05.144000000,dst,5805,79078,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132138248884487682.txt,"subject: /Device/HarddiskVolume1/Windows/system32/backgroundTaskHost.exe | ""C:/Windows/system32/backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca",file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132138248884487682.txt,6.000 to coverage score (16.262)
30,52410,TN_high_below_threshold,13.643625259,0,0,,5,13.643625259,0.000000000,RENAME,ef3071f2-a2c8-48cb-81ef-38e8a5f2fff1,1569279301946000000,2019-09-23 18:55:01.946000 EDT,2019-09-23 18:54:50.679000000~2019-09-23 18:55:31.258000000,dst,804,52410,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132137528985752616.txt.~tmp,"subject: /Device/HarddiskVolume1/Windows/system32/backgroundTaskHost.exe | ""C:/Windows/system32/backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca",file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132137528985752616.txt.~tmp,6.000 to coverage score (16.262)
31,52381,TN_high_below_threshold,13.643625259,0,0,,4,13.643625259,0.000000000,RENAME,7f964b4b-60c1-41bf-95a8-4aadfc49d569,1569279301945000000,2019-09-23 18:55:01.945000 EDT,2019-09-23 18:54:50.679000000~2019-09-23 18:55:31.258000000,dst,804,52381,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132137528985752616.txt,"subject: /Device/HarddiskVolume1/Windows/system32/backgroundTaskHost.exe | ""C:/Windows/system32/backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca",file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132137528985752616.txt,6.000 to coverage score (16.262)
