model_label,score_epoch,rank,node_id,node_group,node_group_label,score,label,pred_above_threshold,saved_pred,attacks,incident_edges,responsible_loss,score_minus_responsible_loss,operation,event_uuid,time_raw,time_eastern,window,target_role,srcnode,dstnode,src_type,dst_type,type_pair,node_label_text,src_label,dst_label,short_endpoint_pair
Leaky selected,0,26,216238,FN,FN,4.780416012,1,0,0,Browser extension Drakon dropper,15,4.780416012,0.000000000,EVENT_EXECUTE,BE9B1ED1-F5BD-2415-0E27-620200000010,1523551437431151550,2018-04-12 12:43:57.431152 EDT,2018-04-12 12:41:37.414339210~2018-04-12 12:46:22.515868238,dst,511272,216238,file,subject,file->subject,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,file: /etc/firefox/native-messaging-hosts/pass_mgr,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,native-messaging-hosts/pass_mgr -> firefox/firefox
Leaky selected,0,27,216234,FN,FN,4.780416012,1,0,0,Browser extension Drakon dropper,13,4.780416012,0.000000000,EVENT_EXECUTE,0CD6A3AD-ECBD-2415-DFDB-610200000010,1523551398181197324,2018-04-12 12:43:18.181197 EDT,2018-04-12 12:41:37.414339210~2018-04-12 12:46:22.515868238,dst,511272,216234,file,subject,file->subject,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,file: /etc/firefox/native-messaging-hosts/pass_mgr,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,native-messaging-hosts/pass_mgr -> firefox/firefox
Leaky selected,0,28,216233,FN,FN,4.780416012,1,0,0,Browser extension Drakon dropper,15,4.780416012,0.000000000,EVENT_EXECUTE,ECE422C8-EBBD-2415-5CD8-610200000010,1523551394330764524,2018-04-12 12:43:14.330765 EDT,2018-04-12 12:41:37.414339210~2018-04-12 12:46:22.515868238,dst,511272,216233,file,subject,file->subject,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,file: /etc/firefox/native-messaging-hosts/pass_mgr,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,native-messaging-hosts/pass_mgr -> firefox/firefox
Leaky selected,0,29,216083,TN_near_threshold,TN (benign) near threshold,4.780416012,0,0,0,benign,13,4.780416012,0.000000000,EVENT_EXECUTE,A53C9423-C1BD-2415-5250-600200000010,1523551211181325477,2018-04-12 12:40:11.181325 EDT,2018-04-12 12:38:30.732423693~2018-04-12 12:40:45.019444577,dst,511272,216083,file,subject,file->subject,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,file: /etc/firefox/native-messaging-hosts/pass_mgr,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,native-messaging-hosts/pass_mgr -> firefox/firefox
Leaky selected,0,30,959373,TN_near_threshold,TN (benign) near threshold,4.635594368,0,0,0,benign,6,4.635594368,0.000000000,EVENT_EXECUTE,8CE4D334-05DA-2415-D8B3-E40200000010,1523582289854063756,2018-04-12 21:18:09.854064 EDT,2018-04-12 21:17:13.138814391~2018-04-12 21:18:29.581255285,src,959373,357794,file,subject,file->subject,file: /home/admin/Qt5.10.1/Tools/QtCreator/libexec/qtcreator/sdktool,file: /home/admin/Qt5.10.1/Tools/QtCreator/libexec/qtcreator/sdktool,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,qtcreator/sdktool -> admin/qt-opensource-linux-x64-5.10.1.run
Leaky selected,0,31,357808,TN_near_threshold,TN (benign) near threshold,4.635594368,0,0,0,benign,33,4.635594368,0.000000000,EVENT_EXECUTE,75F2A8CC-09DA-2415-CEC0-E50200000010,1523582309581255285,2018-04-12 21:18:29.581255 EDT,2018-04-12 21:17:13.138814391~2018-04-12 21:18:29.581255285,dst,959373,357808,file,subject,file->subject,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,file: /home/admin/Qt5.10.1/Tools/QtCreator/libexec/qtcreator/sdktool,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,qtcreator/sdktool -> admin/qt-opensource-linux-x64-5.10.1.run
Leaky selected,0,32,357801,TN_near_threshold,TN (benign) near threshold,4.635594368,0,0,0,benign,33,4.635594368,0.000000000,EVENT_EXECUTE,333246DF-07DA-2415-783A-E50200000010,1523582301303616051,2018-04-12 21:18:21.303616 EDT,2018-04-12 21:17:13.138814391~2018-04-12 21:18:29.581255285,dst,959373,357801,file,subject,file->subject,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,file: /home/admin/Qt5.10.1/Tools/QtCreator/libexec/qtcreator/sdktool,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,qtcreator/sdktool -> admin/qt-opensource-linux-x64-5.10.1.run
Leaky selected,0,33,357795,TN_near_threshold,TN (benign) near threshold,4.635594368,0,0,0,benign,32,4.635594368,0.000000000,EVENT_EXECUTE,0D77BA3C-05DA-2415-1DB4-E40200000010,1523582289986615053,2018-04-12 21:18:09.986615 EDT,2018-04-12 21:17:13.138814391~2018-04-12 21:18:29.581255285,dst,959373,357795,file,subject,file->subject,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,file: /home/admin/Qt5.10.1/Tools/QtCreator/libexec/qtcreator/sdktool,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,qtcreator/sdktool -> admin/qt-opensource-linux-x64-5.10.1.run
Leaky selected,0,34,357794,TN_near_threshold,TN (benign) near threshold,4.635594368,0,0,0,benign,30,4.635594368,0.000000000,EVENT_EXECUTE,8CE4D334-05DA-2415-D8B3-E40200000010,1523582289854063756,2018-04-12 21:18:09.854064 EDT,2018-04-12 21:17:13.138814391~2018-04-12 21:18:29.581255285,dst,959373,357794,file,subject,file->subject,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,file: /home/admin/Qt5.10.1/Tools/QtCreator/libexec/qtcreator/sdktool,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,qtcreator/sdktool -> admin/qt-opensource-linux-x64-5.10.1.run
Leaky selected,0,35,649956,TN_near_threshold,TN (benign) near threshold,4.613215446,0,0,0,benign,4,4.613215446,0.000000000,EVENT_EXECUTE,EABA6648-F123-2415-6219-0E0000000010,1523382093166852842,2018-04-10 13:41:33.166853 EDT,2018-04-10 13:41:32.723501833~2018-04-10 13:42:53.912530699,src,649956,281603,file,subject,file->subject,file: /home/admin/Downloads/firefox/crashreporter,file: /home/admin/Downloads/firefox/crashreporter,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,firefox/crashreporter -> firefox/firefox
Leaky selected,0,36,281603,TN_near_threshold,TN (benign) near threshold,4.613215446,0,0,0,benign,397,4.613215446,0.000000000,EVENT_EXECUTE,EABA6648-F123-2415-6219-0E0000000010,1523382093166852842,2018-04-10 13:41:33.166853 EDT,2018-04-10 13:41:32.723501833~2018-04-10 13:42:53.912530699,dst,649956,281603,file,subject,file->subject,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,file: /home/admin/Downloads/firefox/crashreporter,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,firefox/crashreporter -> firefox/firefox
Leaky selected,0,37,282338,TN_near_threshold,TN (benign) near threshold,4.581402302,0,0,0,benign,400,4.581402302,0.000000000,EVENT_EXECUTE,10B55AAB-2A26-2415-5276-140000000010,1523384538663400720,2018-04-10 14:22:18.663401 EDT,2018-04-10 14:25:01.459826014~2018-04-10 14:25:02.107185348,dst,649956,282338,file,subject,file->subject,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,file: /home/admin/Downloads/firefox/crashreporter,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,firefox/crashreporter -> firefox/firefox
Leaky selected,0,38,281744,TN_near_threshold,TN (benign) near threshold,4.578644753,0,0,0,benign,401,4.578644753,0.000000000,EVENT_EXECUTE,48401D6D-FA23-2415-68B3-0F0000000010,1523382132437499976,2018-04-10 13:42:12.437500 EDT,2018-04-10 13:41:32.723501833~2018-04-10 13:42:53.912530699,dst,649956,281744,file,subject,file->subject,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,file: /home/admin/Downloads/firefox/crashreporter,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,firefox/crashreporter -> firefox/firefox
Leaky selected,0,39,281674,TN_near_threshold,TN (benign) near threshold,4.578644753,0,0,0,benign,401,4.578644753,0.000000000,EVENT_EXECUTE,F863C020-F523-2415-88D9-0E0000000010,1523382109681509368,2018-04-10 13:41:49.681509 EDT,2018-04-10 13:41:32.723501833~2018-04-10 13:42:53.912530699,dst,649956,281674,file,subject,file->subject,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,file: /home/admin/Downloads/firefox/crashreporter,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,firefox/crashreporter -> firefox/firefox
Leaky selected,0,40,1000155,TN_near_threshold,TN (benign) near threshold,4.573260307,0,0,0,benign,8,4.573260307,0.000000000,EVENT_EXECUTE,B1B24795-08DA-2415-1ABE-E50200000010,1523582304357167793,2018-04-12 21:18:24.357168 EDT,2018-04-12 21:18:22.074662245~2018-04-12 21:18:26.915879419,src,1000155,357802,file,subject,file->subject,file: /home/admin/Qt5.10.1/5.10.1/android_armv7/bin/qmake,file: /home/admin/Qt5.10.1/5.10.1/android_armv7/bin/qmake,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,bin/qmake -> admin/qt-opensource-linux-x64-5.10.1.run
Leaky selected,0,41,992055,TN_near_threshold,TN (benign) near threshold,4.573260307,0,0,0,benign,7,4.573260307,0.000000000,EVENT_EXECUTE,81299E0E-06DA-2415-7B37-E50200000010,1523582293507975553,2018-04-12 21:18:13.507976 EDT,2018-04-12 21:18:10.786166263~2018-04-12 21:18:16.060617787,src,992055,357796,file,subject,file->subject,file: /home/admin/Qt5.10.1/5.10.1/android_x86/bin/qmake,file: /home/admin/Qt5.10.1/5.10.1/android_x86/bin/qmake,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,bin/qmake -> admin/qt-opensource-linux-x64-5.10.1.run
Leaky selected,0,42,983112,TN_near_threshold,TN (benign) near threshold,4.573260307,0,0,0,benign,8,4.573260307,0.000000000,EVENT_EXECUTE,B0D83741-FFD9-2415-BEA3-E40200000010,1523582264292137136,2018-04-12 21:17:44.292137 EDT,2018-04-12 21:17:38.055856858~2018-04-12 21:17:46.836197770,src,983112,357780,file,subject,file->subject,file: /home/admin/Qt5.10.1/5.10.1/gcc_64/bin/qmake,file: /home/admin/Qt5.10.1/5.10.1/gcc_64/bin/qmake,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,bin/qmake -> admin/qt-opensource-linux-x64-5.10.1.run
Leaky selected,0,43,357807,TN_near_threshold,TN (benign) near threshold,4.573260307,0,0,0,benign,11,4.573260307,0.000000000,EVENT_EXECUTE,FB89CA2D-09DA-2415-A7BE-E50200000010,1523582306915879419,2018-04-12 21:18:26.915879 EDT,2018-04-12 21:18:22.074662245~2018-04-12 21:18:26.915879419,dst,1000155,357807,file,subject,file->subject,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,file: /home/admin/Qt5.10.1/5.10.1/android_armv7/bin/qmake,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,bin/qmake -> admin/qt-opensource-linux-x64-5.10.1.run
Leaky selected,0,44,357806,TN_near_threshold,TN (benign) near threshold,4.573260307,0,0,0,benign,11,4.573260307,0.000000000,EVENT_EXECUTE,43E3190F-09DA-2415-8FBE-E50200000010,1523582306400985923,2018-04-12 21:18:26.400986 EDT,2018-04-12 21:18:22.074662245~2018-04-12 21:18:26.915879419,dst,1000155,357806,file,subject,file->subject,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,file: /home/admin/Qt5.10.1/5.10.1/android_armv7/bin/qmake,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,bin/qmake -> admin/qt-opensource-linux-x64-5.10.1.run
Leaky selected,0,45,357805,TN_near_threshold,TN (benign) near threshold,4.573260307,0,0,0,benign,11,4.573260307,0.000000000,EVENT_EXECUTE,2587C7F0-08DA-2415-6FBE-E50200000010,1523582305892271909,2018-04-12 21:18:25.892272 EDT,2018-04-12 21:18:22.074662245~2018-04-12 21:18:26.915879419,dst,1000155,357805,file,subject,file->subject,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,file: /home/admin/Qt5.10.1/5.10.1/android_armv7/bin/qmake,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,bin/qmake -> admin/qt-opensource-linux-x64-5.10.1.run
Leaky selected,0,46,357804,TN_near_threshold,TN (benign) near threshold,4.573260307,0,0,0,benign,11,4.573260307,0.000000000,EVENT_EXECUTE,1F3C01D2-08DA-2415-53BE-E50200000010,1523582305375960095,2018-04-12 21:18:25.375960 EDT,2018-04-12 21:18:22.074662245~2018-04-12 21:18:26.915879419,dst,1000155,357804,file,subject,file->subject,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,file: /home/admin/Qt5.10.1/5.10.1/android_armv7/bin/qmake,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,bin/qmake -> admin/qt-opensource-linux-x64-5.10.1.run
Leaky selected,0,47,357803,TN_near_threshold,TN (benign) near threshold,4.573260307,0,0,0,benign,11,4.573260307,0.000000000,EVENT_EXECUTE,EC2FC7B3-08DA-2415-35BE-E50200000010,1523582304868839404,2018-04-12 21:18:24.868840 EDT,2018-04-12 21:18:22.074662245~2018-04-12 21:18:26.915879419,dst,1000155,357803,file,subject,file->subject,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,file: /home/admin/Qt5.10.1/5.10.1/android_armv7/bin/qmake,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,bin/qmake -> admin/qt-opensource-linux-x64-5.10.1.run
